vehicle_identifier, vehicle_identification_number, gps_lat, gps_lng, battery_charge, vehicle_status, created_on
4780-LMH,UCYS01S0ZMB000392,41.384347,2.17238,99,AVAILABLE,2021-03-11 11:58:43.707093+00
4780-LMH,UCYS01S0ZMB000392,41.384346,2.172379,99,AVAILABLE,2021-03-11 11:58:58.021815+00
4780-LMH,UCYS01S0ZMB000392,41.38435,2.172377,99,AVAILABLE,2021-03-11 11:59:01.035887+00
4780-LMH,UCYS01S0ZMB000392,41.384352,2.172375,99,AVAILABLE,2021-03-11 11:59:02.776694+00
4780-LMH,UCYS01S0ZMB000392,41.384353,2.172376,99,AVAILABLE,2021-03-11 11:59:04.070308+00
4780-LMH,UCYS01S0ZMB000392,41.384359,2.172385,99,AVAILABLE,2021-03-11 11:59:05.337693+00
4780-LMH,UCYS01S0ZMB000392,41.384625,2.172206,99,AVAILABLE,2021-03-11 11:59:20.077834+00
4780-LMH,UCYS01S0ZMB000392,41.384581,2.172198,99,AVAILABLE,2021-03-11 11:59:29.059023+00
4780-LMH,UCYS01S0ZMB000392,41.384591,2.172209,99,AVAILABLE,2021-03-11 11:59:30.59141+00
4780-LMH,UCYS01S0ZMB000392,41.384603,2.17222,99,AVAILABLE,2021-03-11 11:59:45.129786+00
4780-LMH,UCYS01S0ZMB000392,41.384618,2.172299,99,AVAILABLE,2021-03-11 12:00:00.4498+00
4780-LMH,UCYS01S0ZMB000392,41.384614,2.172286,99,AVAILABLE,2021-03-11 12:00:16.139426+00
4780-LMH,UCYS01S0ZMB000392,41.384613,2.172278,99,AVAILABLE,2021-03-11 12:00:30.089405+00
4780-LMH,UCYS01S0ZMB000392,41.384611,2.172277,99,AVAILABLE,2021-03-11 12:00:45.067125+00
4780-LMH,UCYS01S0ZMB000392,41.384628,2.172279,99,AVAILABLE,2021-03-11 12:01:00.144824+00
4780-LMH,UCYS01S0ZMB000392,41.384638,2.172273,99,AVAILABLE,2021-03-11 12:01:15.042002+00
4780-LMH,UCYS01S0ZMB000392,41.384634,2.172269,99,AVAILABLE,2021-03-11 12:01:18.256447+00
4780-LMH,UCYS01S0ZMB000392,41.384625,2.172263,99,AVAILABLE,2021-03-11 12:01:32.212056+00
4780-LMH,UCYS01S0ZMB000392,41.384618,2.172374,99,AVAILABLE,2021-03-11 12:01:38.252224+00
4780-LMH,UCYS01S0ZMB000392,41.384548,2.17234,99,AVAILABLE,2021-03-11 12:01:46.651236+00
4780-LMH,UCYS01S0ZMB000392,41.384339,2.172307,99,AVAILABLE,2021-03-11 12:04:06.21324+00
4780-LMH,UCYS01S0ZMB000392,41.384339,2.172314,99,AVAILABLE,2021-03-11 12:04:08.365504+00
4780-LMH,UCYS01S0ZMB000392,41.384331,2.172433,99,RESERVED,2021-03-11 12:07:57.433497+00
4780-LMH,UCYS01S0ZMB000392,41.384331,2.172434,99,RESERVED,2021-03-11 12:07:59.490214+00
4780-LMH,UCYS01S0ZMB000392,41.384324,2.172435,99,RESERVED,2021-03-11 12:08:14.25522+00
4780-LMH,UCYS01S0ZMB000392,41.384314,2.172377,99,RESERVED,2021-03-11 12:08:28.775171+00
4780-LMH,UCYS01S0ZMB000392,41.384313,2.172365,99,RESERVED,2021-03-11 12:08:30.148183+00
4780-LMH,UCYS01S0ZMB000392,41.384314,2.17236,99,RESERVED,2021-03-11 12:08:56.82617+00
