FID,C_Nus,Coord_X,Coord_Y
0,N00001D,432.108.315,4.581.042.075
1,N00002E,432.149.471,4.581.053.136
2,N00003F,432.163.827,4.581.056.757
3,N00004G,432.178.516,4.581.061.643
4,N00005H,432.193.211,4.581.064.493
5,N00006I,432.207.582,4.581.068.826
6,N00007J,432.222.091,4.581.072.443
7,N00008K,432.236.458,4.581.076.573
8,N00009L,432250.46,4.581.080.252
9,N00010E,432.265.085,4581084.58
10,N00011F,432.279.403,4.581.088.761
11,N00012G,432293.61,4.581.092.538
12,N00013H,432.308.498,4.581.097.267
13,N00014I,432.322.545,4.581.100.691
14,N00015J,432.337.414,4.581.104.555
15,N00016K,432.351.576,4.581.108.588
16,N00017L,432.138.756,4.580.935.758
17,N00018M,432.180.317,4580947.44
18,N00019N,432.194.335,4.580.951.882
19,N00020G,432209.06,4.580.956.105
20,N00021H,432.223.482,4.580.960.437
21,N00022I,432.238.208,4.580.964.712
22,N00023J,432.252.361,4.580.968.337
23,N00024K,432266.38,4580972.83
24,N00025L,432.281.005,4.580.977.158
25,N00026M,432.295.205,4.580.980.579
26,N00027N,432.309.274,4580985.02
27,N00028O,432.323.738,4.580.988.944
28,N00029P,432.337.542,4580992.88
29,N00030I,432.351.748,4.581.001.289
30,N00031J,432.362.309,4.581.012.674
31,N00032K,432.161.701,4.580.855.446
32,N00033L,432.203.475,4.580.866.946
33,N00034M,432.217.584,4.580.870.928
34,N00035N,432.232.268,4.580.875.611
35,N00036O,432.246.627,4.580.879.333
36,N00037P,432.261.094,4580883.41
37,N00038Q,432275.87,4.580.887.633
38,N00039R,432.289.885,4.580.891.871
39,N00040K,432.304.197,4.580.895.799
40,N00041L,432.318.662,4.580.899.772
41,N00042M,432.173.327,4.580.754.419
42,N00043N,432.231.171,4.580.770.681
43,N00044O,432.245.844,4.580.774.855
44,N00045P,432260.57,4580779.13
45,N00046Q,432274.28,4.580.783.426
46,N00047R,432.281.665,4.580.814.829
47,N00048S,432.290.117,4.580.839.136
48,N00049T,432302.65,4.580.868.956
49,N00050M,432.309.947,4580884.43
50,N00051N,432.339.869,4.580.933.061
51,N00053P,432.330.259,4.580.911.541
52,N00054Q,432.370.022,4.581.042.799
53,N00055R,432.083.229,4.581.128.047
54,N00056S,432.124.615,4.581.139.722
55,N00057T,432.138.737,4.581.144.264
56,N00058U,432153.65,4.581.147.822
57,N00059V,432.168.074,4.581.152.205
58,N00060O,432.181.968,4.581.155.632
59,N00061P,432.196.494,4.581.160.063
60,N00062Q,432.211.007,4.581.163.885
61,N00063R,432.241.023,4.581.172.213
62,N00064S,432.269.305,4.581.180.021
63,N00065T,432.283.691,4581183.75
64,N00066U,432.298.147,4.581.187.318
65,N00067V,432.312.461,4.581.191.347
66,N00068W,432.327.438,4.581.195.464
67,N00069X,432.341.342,4.581.199.349
68,N00070Q,432.355.855,4581203.17
69,N00071R,432.370.632,4.581.207.444
70,N00072S,432385.04,4.581.211.113
71,N00073T,432.399.964,4.581.215.129
72,N00074U,432.414.075,4.581.219.163
73,N00075V,432428.59,4.581.223.085
74,N00076W,432.443.112,4.581.227.083
75,N00077X,432.169.857,4.581.248.351
76,N00078Y,432.185.388,4.581.252.777
77,N00079Z,432243.52,4.581.269.643
78,N00080S,432.257.761,4.581.273.817
79,N00081T,432.272.675,4.581.278.086
80,N00082U,432.287.114,4.581.281.866
81,N00083V,432.301.298,4.581.286.353
82,N00084W,432.315.787,4581290.53
83,N00085X,432.330.542,4.581.294.619
84,N00086Y,432.345.136,4.581.298.115
85,N00087Z,432367.71,4.581.113.006
86,N00088A,432.359.518,4.581.301.949
87,N00089B,432.374.616,4.581.305.916
88,N00090U,432.388.397,4.581.310.071
89,N00091V,432.402.699,4.581.314.669
90,N00092W,432.417.113,4.581.319.666
91,N00093X,432431.15,4.581.324.042
92,N00094Y,432.444.458,4581327.87
93,N00097B,432.380.887,4581117.05
94,N00098C,432.439.956,4.581.133.636
95,N00099D,432.388.649,4.581.144.214
96,N00101G,432.417.509,4.581.152.741
97,N00102H,432.109.043,4.581.195.171
98,N00103I,432.123.325,4.581.199.057
99,N00104J,432.137.572,4.581.203.505
100,N00105K,432.151.961,4.581.207.593
101,N00106L,432.166.455,4581211.78
102,N00107M,432.180.894,4.581.215.815
103,N00108N,432.195.145,4.581.220.416
104,N00109O,432.160.411,4.581.340.576
105,N00112J,432.032.443,4.581.303.968
106,N00113K,432.073.871,4.581.314.406
107,N00114L,432.088.266,4.581.318.697
108,N00115M,432.102.934,4.581.323.642
109,N00116N,432.117.694,4581328.28
110,N00117O,432.132.384,4.581.332.207
111,N00118P,432.147.086,4.581.336.591
112,N00119Q,432.175.058,4.581.344.992
113,N00120J,432.190.019,4.581.349.522
114,N00121K,432.203.741,4.581.353.374
115,N00122L,432.217.922,4.581.357.731
116,N00123M,432.232.996,4.581.362.249
117,N00124N,432.290.581,4.581.379.525
118,N00125O,432.304.871,4.581.383.428
119,N00126P,432.046.529,4.581.411.706
120,N00127Q,432.061.034,4.581.416.299
121,N00128R,432.075.224,4.581.420.545
122,N00129S,432.090.278,4.581.424.768
123,N00130L,432.104.069,4.581.429.279
124,N00131M,432.118.639,4.581.432.548
125,N00132N,432.133.189,4.581.436.727
126,N00133O,432.147.685,4.581.441.061
127,N00134P,432.161.459,4.581.445.024
128,N00135Q,432.175.754,4.581.449.588
129,N00136R,432.189.754,4.581.454.077
130,N00137S,432204.8,4.581.458.046
131,N00138T,432.263.612,4.581.474.888
132,N00139U,432.279.434,4581479.51
133,N00141O,432.292.679,4.581.483.332
134,N00143Q,432.319.857,4581387.91
135,N00146T,432.057.598,4.581.479.579
136,N00147U,432.087.306,4.581.488.289
137,N00148V,432.115.886,4.581.496.623
138,N00149W,432.144.505,4.581.504.549
139,N00150P,432.174.002,4.581.512.959
140,N00151Q,432.261.325,4.581.538.273
141,N00156V,432089.99,4.581.259.635
142,N00157W,432094.02,4.581.243.653
143,N00158X,432.104.281,4.581.263.828
144,N00159Y,432.118.625,4581268.12
145,N00160R,432.122.908,4.581.252.081
146,N00161S,431.619.831,4.581.412.716
147,N00162T,431.653.647,4.581.463.489
148,N00163U,431.709.483,4.581.549.993
149,N00165W,431.707.713,4.581.428.755
150,N00166X,431.762.158,4.581.514.635
151,N00170T,431.654.373,4.581.578.043
152,N00171U,431.668.951,4581608.62
153,N00172V,431.691.351,4.581.643.464
154,N00173W,431.749.289,4.581.606.151
155,N00174X,431.800.621,4.581.575.458
156,N00175Y,431.820.591,4.581.562.366
157,N00176Z,431.782.045,4.581.501.742
158,N00177A,431.835.934,4.581.551.888
159,N00178B,432.009.651,4.581.400.954
